t	D	E	c	n
1	3000	3000	15	5
2	3050.25	2900.99	14.99	5
3	3075.57	2852.23	14.98	4.99
4	3101.01	2803.95	14.96	4.98
5	3126.58	2756.15	14.94	4.97
6	3152.15	2708.35	14.92	4.96
7	3177.72	2660.55	14.90	4.95
8	3203.29	2612.75	14.88	4.94
9	3228.86	2564.95	14.86	4.93
10	3254.43	2517.15	14.84	4.92
11	3280.00	2469.35	14.82	4.91
12	3305.57	2421.55	14.80	4.90
13	3331.14	2373.75	14.78	4.89
14	3356.71	2325.95	14.76	4.88
15	3382.28	2278.15	14.74	4.87
16	3407.85	2230.35	14.72	4.86
17	3433.42	2182.55	14.70	4.85
18	3458.99	2134.75	14.68	4.84
19	3484.56	2086.95	14.66	4.83
20	3510.13	2039.15	14.64	4.82
21	3535.70	1991.35	14.62	4.81
22	3561.27	1943.55	14.60	4.80
23	3586.84	1895.75	14.58	4.79
24	3612.41	1847.95	14.56	4.78
25	3637.98	1800.15	14.54	4.77
26	3663.55	1752.35	14.52	4.76
27	3689.12	1704.55	14.50	4.75
28	3714.69	1656.75	14.48	4.74
29	3740.26	1608.95	14.46	4.73
30	3765.83	1561.15	14.44	4.72	
31	3791.40	1513.35	14.42	4.71
32	3816.97	1465.55	14.40	4.70
33	3842.54	1417.75	14.38	4.69
34	3868.11	1369.95	14.36	4.68
35	3893.68	1322.15	14.34	4.67
36	3919.25	1274.35	14.32	4.66
37	3944.82	1226.55	14.30	4.65
38	3970.39	1178.75	14.28	4.64
39	3995.96	1130.95	14.26	4.63
40	4021.53	1083.15	14.24	4.62
41	4047.10	1035.35	14.22	4.61
42	4072.67	987.55	14.20	4.60
43	4098.24	939.75	14.18	4.59
44	4123.81	891.95	14.16	4.58
45	4149.38	844.15	14.14	4.57
46	4174.95	796.35	14.12	4.56
47	4200.52	748.55	14.10	4.55
48	4226.09	700.75	14.08	4.54
49	4251.66	652.95	14.06	4.53
50	4277.23	605.15	14.04	4.52
